company_name,company_phone,company_website,company_type,company_city,company_state,company_streetCode,company_street
Bucks Mill Brewing,(763) 218-7085,www.bucksmillbrewing.com,Taproom,Detroit Lakes,Minnesota,MN,824 Washington Ave
Neon Culture Brewing,Nil,Nil,Brewery In Planning,Charlottesville,Virginia,VA,
19 Normal brewing company,(734) 644-7926,www.19normalbrewing.com,Brewery In Planning,Riverview,Michigan,MI,17788 Reno Street
Brew and Feed Brewing,980-689-1927,www.brewandfeed.com,Alt Prop,Mooresville,North Carolina,NC,225 S Broad St
Windward Brewing Company,(907) 347-3308,Nil,Brewery In Planning,Homer,Alaska,AK,4970 Clover Lane
Solar Brewing Company,(910) 408-2579,www solarbrewingcompany.com,Brewpub,Oak Island,North Carolina,NC,8108 E Oak Island Dr
"Brewery in Planning - Baton Rouge, LA",Nil,Nil,Brewery In Planning,Baton Rouge,Louisiana,LA,2080 N Vega Dr
Black Locust Hops Farm Brewery,Nil,https://www.blacklocusthops.com/,Taproom,Freeland,Maryland,MD,21305 HEATHCOTE RD  
Project 9 Brewing Co,Nil,www.project9brewing.com,Taproom,Seattle,Washington,WA,1409 NE 80th St
Laudenbach Brewing,(540) 735-5453,Nil,Brewery In Planning,Remington,Virginia,VA,108 W Main St
Stahoo's Brewery and Taproom,(307) 247-0464,http://www.stahoosbrewery.com/,Taproom,Casper,Wyoming,WY,1015 E C St
Sunken Ship Brewing Company,763-220-5181,www.sunkenshipbrewing.com,Taproom,Princeton,Minnesota,MN,32273 124th St
Afterthought Brewing Company - Production,(630) 301-1615,Nil,Micro,Lombard,Illinois,IL,844 N Ridge Ave.
Pleasant Prairie Brewing,(406) 487-2702,www.pleasantprairiebrewing.com,Micro,Scobey,Montana,MT,"601 Main Street, Ste. B"
Argyll Brewery,(503) 313-4799,Nil,Brewery In Planning,Childersburg,Alabama,AL,PO Box 199
Hop Butcher For the World,Nil,Nil,Brewery In Planning,Chicago,Illinois,IL,6398 W 74TH ST
Humble Sea Brewing Co - Pacifica,(650) 898-8008,humblesea.com,Brewpub,Pacifica,California,CA,5560 Pacific Coast Hwy
Hyperbolic Brewing,Nil,Nil,Brewery In Planning,Orlando,Florida,FL,2725 Walnut Street
"Brewery in Planning - Marianna, FL",Nil,Nil,Brewery In Planning,Marianna,Florida,FL,PO Box 761 c/o Kathryn E. Simpson
"Brewery in Planning - Matawan, NJ",(190) 896-3135,Nil,Brewery In Planning,Matawan,New Jersey,NJ,253 Main Street STE 183
Humble Roots Beer Project,Nil,www.humblerootsbrew.com,Brewery In Planning,Fairbanks,Alaska,AK,314 Wendell Ave
Mt. Ascension Brewing Company,(406) 442-9501,www.mtascensionbrewing.com,Taproom,Helena,Montana,MT,317 Cruse Ave
Bearpaw River Brewing Co,(907) 373-2537,Nil,Micro,Wasilla,Alaska,AK,240 E Railroad Ave
Naptowne Brewing Company,907-398-1981,Nil,Taproom,Sterling,Alaska,AK,35021 Sterling Highway
Boots 2 Brews At Zip Kombucha,9073517821,http://www.zipkombucha.com/,Taproom,Anchorage,Alaska,AK,8161 Schoon Street
Mike Wilber Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Michelle Wenner Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Jacob Ainsworth Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Stephen Rawlings Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Carolyn Burke Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Southern Hops Brewing Co.,Nil,Nil,Brewpub,Florence,South Carolina,SC,911 South Sunset Acres Lane
Robert Von Drach Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Alyssa Von Drach Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Melissa Cruys Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Brewery in Planning - Santa Maria,Nil,Nil,Brewery In Planning,Santa Maria,California,CA,2435 Ebony St
Justin Pederson Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Cameb Cherry Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gary Fisher Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Jon Gagne Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Paul Vega Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Jesse Campos Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
BRADY FRANK Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Andy Martinec Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Armando Martinez Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Celina Barton Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Claire Weis Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sarah Halstead Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Brandon Campbell Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Brent Arslaner Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Meike Rossman Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Brewery Representative Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Will Gardner Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Ky Sorley Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Jesse Sorley Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Noah Enns Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Troy Cooper Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Elliot Kiemel Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Erik LeVine Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Colin Hoffman Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dana Valletti Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Cathy Xu Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Romke Swinkels Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Kent Olsen Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Jason Davis Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dan Norton Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Karie McDougall Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Bryan Budahn Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Scott Scardino Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Scott McKinlay Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Thomas Hartlen Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Mark Banick Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Broad Leaf Westside,Nil,Nil,Brewpub,Grand Rapids,Michigan,MI,443 Bridge Street NW
Jason Trottier Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Jeff Metz Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Brewery in Planning - Arizona,734-277-7765,Nil,Brewery In Planning,Gilbert,Arizona,AZ,2350 S. Wade Dr.  Unit 2024
Johnathan Hawkins Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
John McDaniel Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Finn Pounds Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Mitch Keener Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Big Cherry Brewing Company,2765241471,https://bigcherrybrewingco.com/,Brewpub,Big Stone Gap,Virginia,VA,402 Wood Ave E
"Brewery in Planning - Holyoke , MA",(413) 265-7126,Nil,Brewery In Planning,Holyoke,Massachusetts,MA,14 Philip Drive
"Brewery in Planning - Saratoga Springs, NY",(518) 396-7792,Nil,Brewery In Planning,Saratoga Springs,New York,NY,1 Loriann Dr
Hairy Guys Brewing,(610) 737-4349,www.hairyguysbrewing.com,Taproom,Jim Thorpe,Pennsylvania,PA,204 Center St
Mike Chapman Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Samantha Thornhill Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Randy Piper Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Jim Kurtz Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Kevin Rand Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
John Novotny Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Rachyl Fojtik Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Keth Frsgren Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Chelsea Roy Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Michael Brice Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Jenna White Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Lakehead Beer Company,6138995124,Nil,Micro,Thunder Bay,,,206 Park Avenue
Jerid Saffell Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
brewwell,252-933-4071,www.brewwellavl.com,Brewery In Planning,Asheville,North Carolina,NC,51 Sweeten Creek Road
Staff Unknown Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Corey Patterson Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Mary Davis Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Denisa Burr Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Brandon Holliday Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Jimmy Bryant Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Michael Frith Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Pauline Knighton Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
The Braumeisters Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Pascal Fritz Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Ileigh Kuga Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
London Davenport Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Old School Brewing,2707669906,Nil,Brewery In Planning,Buffalo,Kentucky,KY,704 Ferrill Hill Rd
Hayden Palmer Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Andrew Bernauer Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Blake Kinnett Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Amanda Welker Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Clayton Kammerer Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Hunter Burke Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
John Milam Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Brewlab,Nil,Nil,Brewery In Planning,Joliet,Illinois,IL,1411 Roth Dr.
Matthew Stoupenos Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Myrcene Ale,8603393762,https://www.myrceneale.com/,Taproom,Old Saybrook,Connecticut,CT,39 Ragged Rock Rd Unit 5
Rachael Morris Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Cam Bosch Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Mike Fava Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Austin Patterson Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Andrew Burns Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Okay Beer Company,Nil,www.drinkokaybeer.com,Brewpub,Honeoye Falls,New York,NY,126 W Main St
J. Nicolas valiente Household,(561)2893750,Nil,Brewery In Planning,Fort Lauderdale,Florida,FL,"610 West Las Olas Boulevard, Unit 1511 N"
Juan Anotnio,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Ross Salese Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Jason Porter Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Brian Shields Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Susie Larson Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Maggie Lenz Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Todd Perkins Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Jim Bauckman Household,(240) 394-9202,Nil,Nil,Nil,Nil,Nil,Nil
Science Project Brewing Company,Nil,scienceprojectbrewing.com,Brewpub,Logansport,Indiana,IN,611 North St
John Rael Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
John Crider Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Joseph McCadden Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Brewery Saint X,Nil,www.brewerysaintx.com,Brewpub,New Orleans,Louisiana,LA,1100 Girod St
Danico Brewing Company,3035312739,Nil,Taproom,Denver,Colorado,CO,18490 E 66th Ave
"Haberle Congress Brewing Company, LLC.",1(315)982-6598,Nil,Contract,Syracuse,New York,NY,2363 James Street # 617
Marc Rietvelt Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Bob Maphet Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Janelle Hoeglund Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Kiesbye Naturbrauerei,+436642534162,Nil,Beer Brand,Obertrum,,,Dorfplatz 1
"Brewery in Planning - Toledo, OH",419-308-5241,Nil,Brewery In Planning,Toledo,Ohio,OH,4352 Inverdale Ave
Bexar Cider,571 867 1686,Nil,Brewpub,San Antonio,,,225 Wickes Street
BrewDAO,3035200558,https://brewdao.io/,Brewery In Planning,Denver,Colorado,CO,2699 S Patton Ct
Punk Hop Brew Household,0894233726,Nil,Beer Brand,Dublin,,,"77 Block D2 Bow Bridge Place
Irwin Street, Kilmainham"
"Squatch Brewing, Inc",800.817.5116,Nil,Taproom,Monroeville,Pennsylvania,PA,203 Townsend Dr
Jason Garton Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Judy Elhamalawy Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Brae Lezcano Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Bothell Barrel House,Nil,Nil,Taproom,Bothell,Washington,WA,18204 Bothell Everett Highway
Mutual Aid Brewing Company,6314069398,Nil,Brewery In Planning,Commack,New York,NY,42 Gannet Drive
Root + Branch Brewing,Nil,www.rootandbranchbrewing.com,Taproom,Copiague,New York,NY,360 Marconi Boulevard
Derek Kruse Household,Nil,Nil,Taproom,Northfield,,,9425 Edgebrook Dr
Papa Moon Ciders,3086336880,Nil,NonBeer,Scottsbluff,Nebraska,NE,3109 Avenue B
Native Son,2132701599,Nil,Micro,Los Angeles,California,CA,832 S Olive St
Steven Morgan Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Andrew Armit Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Maureen Franks Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Graham McKernan Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
James Bryce Household,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Parched Brewery,+61 437 211 585,www.parchedbrewery.com.au,Brewpub,West End,Queensland,QLD,391 Montague Road
Jagerhund Brewing,3072870358,Nil,Brewery In Planning,CHEYENNE,Wyoming,WY,1515 E 16TH ST
Ashley Geier Household,Nil,Nil,Nil,,,,
Speckled Pig Brewing Co.,Nil,www.speckledpigbrewery.com,Brewpub,Ballston Spa,New York,NY,11 Washington Street
Useless Creatures Brewing Company,Nil,www.uselesscreaturesbrewing.com,Brewpub,Three Rivers,Michigan,MI,41 N Main St
Granite Bay Brewing Company,(916) 938-2337,https://granitebaybrewingcompany.com/,Taproom,Granite Bay,California,CA,8601 Auburn Folsom Road
Tennessee Brew Works - Lenoir City,Nil,Nil,Brewery In Planning,Lenoir City,Tennessee,TN,200 E Depot St
Swamp Cat Brew Co,(831) 264-3998,www.swampcatbrewing.com,Brewery In Planning,Fort Myers,Florida,FL,1943 Fowler St
Omnium Brewing,6033275853,www.omniumbrewing.com,Brewpub,Somersworth,New Hampshire,NH,460 High St
Matthew Cameron Household,Nil,Nil,Nil,,,,
Aleece Schubert Household,Nil,Nil,Nil,,,,
Dark Hollow Spring Brewing,Nil,www.darkhollowspring.farm,Micro,Bedford,Pennsylvania,PA,637 Dark Hollow Rd
Ryan Cooley Household,Nil,Nil,Nil,,,,
Kayla Rumpfeldt Household,Nil,Nil,Nil,,,,
Jen Zimmerman Household,Nil,Nil,Nil,,,,
Jen Zimmerman Household,Nil,Nil,Nil,,,,
Traci Laude Household,Nil,Nil,Nil,,,,
Ship Bottom Brewery - Blendery & Barrel House,6104675804,www.shipbottombrewery.com,Micro,SWARTHMORE,Pennsylvania,PA,5 PARK AVE
ian macdonald Household,Nil,Nil,Nil,,,,
Staples Brewery Project,2182961419,Nil,Brewery In Planning,Staples,Minnesota,MN,232 Park Rd
Jeff Airman Household,Nil,Nil,Nil,,,,
Baker Thorpe Household,Nil,Nil,Nil,,,,
Ben Kestner Household,Nil,Nil,Nil,,,,
Brandon Woodcock Household,Nil,Nil,Nil,,,,
Turkey Forrest Brewing/Big Owl Craft Brew House,7135178632,Nil,Taproom,Houston,Texas,TX,1848 Airline Drive
Nikki Muir Household,Nil,Nil,Nil,,,,
Argonne Rose Brewing Company,9147431622,https://www.argonnerosebrewing.com/,Brewpub,Mohegan Lake,New York,NY,1715 E Main St
Coal Run Craft,724-422-4808,Nil,Micro,Homer City,Pennsylvania,PA,2382 Coal Run Rd
Stu Burkemper Household,Nil,Nil,Nil,,,,
Ashley Owens Household,Nil,Nil,Nil,,,,
Smittox Brewing Co.,2144045250,www.smittoxbrewing.com,Brewery In Planning,Allen,Texas,TX,903 Princeton Dr
Gabriel Pilaczynski Household,Nil,Nil,Nil,,,,
Crooked Can Brewing Company Ohio,614-219-1500,www.crookedcanohio.com,Taproom,Hilliard,Ohio,OH,5354 Center St
Amanda Burns Household,Nil,Nil,Nil,,,,
Landwash Brewery,1-709-368-0220,Nil,Taproom,Mount Pearl,Newfoundland and Labrador,NL,181 Commonwealth Ave
Log Home Brewing Company,(540) 895-7011,http://www.loghomebrewing.com/,Brewpub,Spotsylvania,Virginia,VA,5727 Courthouse Rd
Brian Deeds Household,Nil,Nil,Nil,,,,
Boulder Social,720-716-3345,Nil,Brewpub,Boulder,Colorado,CO,1600 38th St
Profesur,6023298200,Nil,Brewery In Planning,Phoenix,Arizona,AZ,1628 E Montoya Ln
Lionell Groen Household,Nil,Nil,Nil,,,,
Austin Pomd Household,Nil,Nil,Nil,,,,
Thomas Berkowitz Household,Nil,Nil,Nil,,,,
Arrogant Goat Brewing,Nil,https://www.arrogantgoatbrewing.com/,Brewpub,Bucyrus,Ohio,OH,125 E Rensselaer St
Brarudi,+25722288050,Nil,Beer Brand,Bujumbura,,,"Boulevard Melchior NDADAYE, Bujumbura, Quartier Industriel
B.P. : 540, Bujumbura, Burundi"
Anatomy Brewing,9712351926,Nil,Brewery In Planning,Saint Petersburg,Florida,FL,2581 61 ave S
Daniel Miller Household,Nil,Nil,Nil,,,,
Brian Dalke Household,Nil,Nil,Nil,,,,
"Lagabiere, microbrasserie inc.",450-346-0999,www.lagabiere.com,Micro,Saint-Jean-sur-Richelieu,Quebec,QC,537 3e Rang
Kyle Allen Household,Nil,Nil,Nil,,,,
Thomas Monson Household,Nil,Nil,Nil,,,,
Jessica Dowdal Household,Nil,Nil,Nil,,,,
Dan Doerfling Household,Nil,Nil,Nil,,,,
Dale Brunke Household,Nil,Nil,Nil,,,,
Kyle Smith Household,Nil,Nil,Nil,,,,
Kyle Krebsbach Household,Nil,Nil,Nil,,,,
Julie Feinberg Household,Nil,Nil,Nil,,,,
Matt Laughlin Household,Nil,Nil,Nil,,,,
Dave Swanson Household,Nil,Nil,Nil,,,,
Doug Staggs Household,Nil,Nil,Nil,,,,
Chicory Brewery,Nil,Nil,Brewery In Planning,Greenville,North Carolina,NC,127 N Library St
Capsoul Brewing Collective,Nil,www.capsoulbrewing.com,Brewery In Planning,Richmond,Virginia,VA,
